Time,Port,Metric,Value
2026-05-06 23:52:21.000,0,ibytes,810
2026-05-06 23:52:21.000,0,rx_nombuf,0
2026-05-06 23:52:21.000,0,obytes,0
2026-05-06 23:52:21.000,n,Value,1
2026-05-06 23:52:22.000,0,ierrors,0
2026-05-06 23:52:22.000,0,opackets,0
2026-05-06 23:52:22.000,0,oerrors,0
2026-05-06 23:52:22.000,0,ipackets,3
2026-05-06 23:52:22.000,0,imissed,0
2026-05-06 23:52:22.000,0,ibytes,810
2026-05-06 23:52:22.000,0,rx_nombuf,0
2026-05-06 23:52:22.000,0,obytes,0
2026-05-06 23:52:22.000,n,Value,1
2026-05-06 23:52:23.000,0,ierrors,0
2026-05-06 23:52:23.000,0,opackets,0
2026-05-06 23:52:23.000,0,oerrors,0
2026-05-06 23:52:23.000,0,ipackets,3
2026-05-06 23:52:23.000,0,imissed,0
2026-05-06 23:52:23.000,0,ibytes,810
2026-05-06 23:52:23.000,0,rx_nombuf,0
2026-05-06 23:52:23.000,0,obytes,0
2026-05-06 23:52:23.000,n,Value,1
2026-05-06 23:52:24.000,0,ierrors,0
2026-05-06 23:52:24.000,0,opackets,0
2026-05-06 23:52:24.000,0,oerrors,0
2026-05-06 23:52:24.000,0,ipackets,3
2026-05-06 23:52:24.000,0,imissed,0
2026-05-06 23:52:24.000,0,ibytes,810
2026-05-06 23:52:24.000,0,rx_nombuf,0
2026-05-06 23:52:24.000,0,obytes,0
2026-05-06 23:52:24.000,n,Value,1
2026-05-06 23:52:25.000,0,ierrors,0
2026-05-06 23:52:25.000,0,opackets,0
2026-05-06 23:52:25.000,0,oerrors,0
2026-05-06 23:52:25.000,0,ipackets,3
2026-05-06 23:52:25.000,0,imissed,0
2026-05-06 23:52:25.000,0,ibytes,810
2026-05-06 23:52:25.000,0,rx_nombuf,0
2026-05-06 23:52:25.000,0,obytes,0
2026-05-06 23:52:25.000,n,Value,1
2026-05-06 23:52:26.000,0,ierrors,0
2026-05-06 23:52:26.000,0,opackets,0
2026-05-06 23:52:26.000,0,oerrors,0
2026-05-06 23:52:26.000,0,ipackets,3
2026-05-06 23:52:26.000,0,imissed,0
2026-05-06 23:52:26.000,0,ibytes,810
2026-05-06 23:52:26.000,0,rx_nombuf,0
2026-05-06 23:52:26.000,0,obytes,0
2026-05-06 23:52:26.000,n,Value,1
2026-05-06 23:52:27.000,0,ierrors,0
2026-05-06 23:52:27.000,0,opackets,0
2026-05-06 23:52:27.000,0,oerrors,0
2026-05-06 23:52:27.000,0,ipackets,3
2026-05-06 23:52:27.000,0,imissed,0
2026-05-06 23:52:27.000,0,ibytes,810
2026-05-06 23:52:27.000,0,rx_nombuf,0
2026-05-06 23:52:27.000,0,obytes,0
2026-05-06 23:52:27.000,n,Value,1
2026-05-06 23:52:28.000,0,ierrors,0
2026-05-06 23:52:28.000,0,opackets,0
2026-05-06 23:52:28.000,0,oerrors,0
2026-05-06 23:52:28.000,0,ipackets,3
2026-05-06 23:52:28.000,0,imissed,0
2026-05-06 23:52:28.000,0,ibytes,810
2026-05-06 23:52:28.000,0,rx_nombuf,0
2026-05-06 23:52:28.000,0,obytes,0
2026-05-06 23:52:28.000,n,Value,1
2026-05-06 23:52:29.000,0,ierrors,0
2026-05-06 23:52:29.000,0,opackets,0
2026-05-06 23:52:29.000,0,oerrors,0
2026-05-06 23:52:29.000,0,ipackets,3
2026-05-06 23:52:29.000,0,imissed,0
2026-05-06 23:52:29.000,0,ibytes,810
2026-05-06 23:52:29.000,0,rx_nombuf,0
2026-05-06 23:52:29.000,0,obytes,0
2026-05-06 23:52:29.000,n,Value,1
2026-05-06 23:52:30.000,0,ierrors,0
2026-05-06 23:52:30.000,0,opackets,0
2026-05-06 23:52:30.000,0,oerrors,0
2026-05-06 23:52:30.000,0,ipackets,3
2026-05-06 23:52:30.000,0,imissed,0
2026-05-06 23:52:30.000,0,ibytes,810
2026-05-06 23:52:30.000,0,rx_nombuf,0
2026-05-06 23:52:30.000,0,obytes,0
2026-05-06 23:52:30.000,n,Value,1
2026-05-06 23:52:31.000,0,ierrors,0
2026-05-06 23:52:31.000,0,opackets,0
2026-05-06 23:52:31.000,0,oerrors,0
2026-05-06 23:52:31.000,0,ipackets,3
2026-05-06 23:52:31.000,0,imissed,0
2026-05-06 23:52:31.000,0,ibytes,810
2026-05-06 23:52:31.000,0,rx_nombuf,0
2026-05-06 23:52:31.000,0,obytes,0
2026-05-06 23:52:31.000,n,Value,1
2026-05-06 23:52:32.000,0,ierrors,0
2026-05-06 23:52:32.000,0,opackets,0
2026-05-06 23:52:32.000,0,oerrors,0
2026-05-06 23:52:32.000,0,ipackets,3
2026-05-06 23:52:32.000,0,imissed,0
2026-05-06 23:52:32.000,0,ibytes,810
2026-05-06 23:52:32.000,0,rx_nombuf,0
2026-05-06 23:52:32.000,0,obytes,0
2026-05-06 23:52:32.000,n,Value,1
2026-05-06 23:52:33.000,0,ierrors,0
2026-05-06 23:52:33.000,0,opackets,0
2026-05-06 23:52:33.000,0,oerrors,0
2026-05-06 23:52:33.000,0,ipackets,3
2026-05-06 23:52:33.000,0,imissed,0
2026-05-06 23:52:33.000,0,ibytes,810
2026-05-06 23:52:33.000,0,rx_nombuf,0
2026-05-06 23:52:33.000,0,obytes,0
2026-05-06 23:52:33.000,n,Value,1
2026-05-06 23:52:34.000,0,ierrors,0
2026-05-06 23:52:34.000,0,opackets,0
2026-05-06 23:52:34.000,0,oerrors,0
2026-05-06 23:52:34.000,0,ipackets,3
2026-05-06 23:52:34.000,0,imissed,0
2026-05-06 23:52:34.000,0,ibytes,810
2026-05-06 23:52:34.000,0,rx_nombuf,0
2026-05-06 23:52:34.000,0,obytes,0
2026-05-06 23:52:34.000,n,Value,1
2026-05-06 23:52:35.000,0,ierrors,0
2026-05-06 23:52:35.000,0,opackets,0
2026-05-06 23:52:35.000,0,oerrors,0
2026-05-06 23:52:35.000,0,ipackets,3
2026-05-06 23:52:35.000,0,imissed,0
2026-05-06 23:52:35.000,0,ibytes,810
2026-05-06 23:52:35.000,0,rx_nombuf,0
2026-05-06 23:52:35.000,0,obytes,0
2026-05-06 23:52:35.000,n,Value,1
