Time,Port,Metric,Value
2026-05-19 14:01:05.000,0,ipackets,3
2026-05-19 14:01:05.000,0,obytes,0
2026-05-19 14:01:05.000,n,Value,1
2026-05-19 14:01:06.000,0,oerrors,0
2026-05-19 14:01:06.000,0,rx_nombuf,0
2026-05-19 14:01:06.000,0,ierrors,0
2026-05-19 14:01:06.000,0,imissed,0
2026-05-19 14:01:06.000,0,opackets,0
2026-05-19 14:01:06.000,0,ibytes,871
2026-05-19 14:01:06.000,0,ipackets,3
2026-05-19 14:01:06.000,0,obytes,0
2026-05-19 14:01:06.000,n,Value,1
2026-05-19 14:01:07.000,0,oerrors,0
2026-05-19 14:01:07.000,0,rx_nombuf,0
2026-05-19 14:01:07.000,0,ierrors,0
2026-05-19 14:01:07.000,0,imissed,0
2026-05-19 14:01:07.000,0,opackets,0
2026-05-19 14:01:07.000,0,ibytes,871
2026-05-19 14:01:07.000,0,ipackets,3
2026-05-19 14:01:07.000,0,obytes,0
2026-05-19 14:01:07.000,n,Value,1
2026-05-19 14:01:08.000,0,oerrors,0
2026-05-19 14:01:08.000,0,rx_nombuf,0
2026-05-19 14:01:08.000,0,ierrors,0
2026-05-19 14:01:08.000,0,imissed,0
2026-05-19 14:01:08.000,0,opackets,0
2026-05-19 14:01:08.000,0,ibytes,871
2026-05-19 14:01:08.000,0,ipackets,3
2026-05-19 14:01:08.000,0,obytes,0
2026-05-19 14:01:08.000,n,Value,1
2026-05-19 14:01:09.000,0,oerrors,0
2026-05-19 14:01:09.000,0,rx_nombuf,0
2026-05-19 14:01:09.000,0,ierrors,0
2026-05-19 14:01:09.000,0,imissed,0
2026-05-19 14:01:09.000,0,opackets,0
2026-05-19 14:01:09.000,0,ibytes,871
2026-05-19 14:01:09.000,0,ipackets,3
2026-05-19 14:01:09.000,0,obytes,0
2026-05-19 14:01:09.000,n,Value,1
